Time (Sec.),Humidity
1,60.4
2,60.8
3,60.9
4,61.2
5,61.6
6,62.0
7,62.3
8,62.8
9,62.7
10,62.4
11,62.5
12,62.9
13,63.2
14,63.4
15,63.6
16,63.8
17,64.0
18,64.1
19,64.1
20,64.3
21,64.3
22,64.5
23,64.7
24,64.8
25,64.9
26,65.2
27,65.3
28,65.5
29,65.5
30,65.6
31,65.6
32,65.8
33,66.1
34,66.2
35,66.4
36,66.6
37,66.7
38,66.9
39,67.2
40,67.3
41,67.4
42,67.5
43,67.6
44,67.6
45,67.8
46,68.1
47,68.3
48,68.2
49,68.4
50,68.4
51,68.6
52,68.6
53,68.6
54,68.7
55,68.8
56,68.8
57,68.8
58,69.0
59,69.2
60,69.2
61,69.3
62,69.5
63,69.6
64,69.4
65,69.2
66,69.4
67,69.4
68,69.3
69,69.6
70,69.7
71,70.0
72,70.1
73,70.3
74,70.4
75,70.5
76,70.8
77,70.7
78,70.8
79,70.7
80,71.1
81,71.4
82,71.7
83,71.8
84,72.0
85,72.2
86,72.4
87,72.5
88,72.7
89,73.0
90,73.4
91,73.5
92,73.7
93,74.0
94,74.3
95,74.4
96,74.8
97,74.9
98,75.4
99,75.5
100,74.8
101,74.0
102,73.0
103,72.1
104,70.4
105,68.0
106,65.1
107,61.8
108,58.7
109,55.0
110,52.5
111,62.0
112,62.7
113,63.2
114,63.3
115,63.7
116,63.7
117,64.7
118,64.8
119,65.7
120,66.4
121,67.1
122,67.8
123,69.0
124,69.5
125,70.4
126,71.5
127,72.4
128,73.3
129,73.6
130,73.6
131,74.8
132,75.3
133,75.9
134,76.8
135,76.3
136,76.3
137,75.8
138,75.5
139,75.3
140,75.1
141,74.8
142,74.3
143,74.0
144,73.6
145,73.1
146,72.9
147,72.6
148,72.3
149,71.9
150,71.8
151,71.7
152,71.7
153,71.3
154,71.0
155,70.6
156,70.5
157,70.2
158,70.0
159,70.0
160,69.7
161,69.2
162,68.9
163,68.6
164,68.2
165,67.9
166,67.6
167,67.2
168,67.0
169,66.8
170,66.5
171,66.5
172,66.0
173,65.9
174,65.8
175,65.7
176,65.5
177,65.0
178,64.6
179,64.6
180,64.2
181,64.1
182,63.7
183,63.5
184,63.1
185,62.7
186,62.4
187,62.2
188,62.2
189,62.1
190,62.0
191,62.2
192,62.7
193,63.2
194,63.4
195,64.3
196,65.1
197,66.1
198,67.0
199,68.1
200,68.7
201,69.2
202,70.2
203,71.1
204,71.9
205,72.5
206,73.1
207,74.3
208,74.8
209,75.5
210,76.7
211,76.8
212,77.9
213,78.9
214,78.8
215,78.4
216,78.4
217,78.0
218,77.6
219,77.6
220,77.5
221,77.0
222,76.7
223,76.5
224,76.3
225,76.3
226,75.9
227,75.6
228,75.5
229,75.1
230,74.9
231,74.8
232,74.7
233,74.3
234,74.0
235,73.6
236,73.6
237,73.6
238,73.6
239,73.5
240,73.5
241,73.1
242,73.0
243,72.9
244,72.5
245,72.3
246,72.3
247,72.2
248,72.1
249,72.1
250,72.0
251,71.9
252,71.8
253,71.4
254,71.1
255,71.1
256,70.8
257,70.7
258,70.4
259,70.1
260,70.0
261,69.8
262,69.4
263,69.0
264,68.7
265,68.4
266,67.9
267,68.3
268,69.3
269,69.8
270,70.0
271,71.0
272,71.5
273,72.3
274,73.4
275,74.2
276,75.2
277,76.4
278,77.5
279,78.6
280,78.9
281,79.9
282,79.9
283,79.8
284,79.6
285,79.1
286,79.0
287,78.8
288,78.5
289,78.4
