Time (min.),NH3
0,35.41
0,36.62
0,37.05
0,38.82
0,37.83
0,38.37
0,38.15
0,39.46
0,40.38
0,40.53
0,40.82
0,42.34
0,40.95
0,41.85
0,44.06
0,43.92
0,44.16
0,44.47
0,44.29
0,45.07
0,46.04
0,46.38
0,46.26
0,48.15
0,47.82
0,47.61
0,47.71
0,48.1
0,46.79
0,48.09
0,47.84
0,48.92
0,50.94
0,53.45
0,53.13
0,52.27
0,51.91
0,51.83
0,51.59
0,50.83
0,50.56
0,50.01
0,49.89
0,49.45
0,48.9
0,48.53
0,47.81
0,47.69
0,47.46
0,46.59
0,46.48
0,45.59
0,45.06
0,45.02
0,44.99
0,44.33
0,43.97
0,43.59
0,43.01
1,43.0
1,42.79
1,41.8
1,41.79
1,41.24
1,40.93
1,39.98
1,39.78
1,38.92
1,38.63
1,37.68
1,37.61
1,37.25
1,36.29
1,35.44
1,35.06
1,34.34
1,34.31
1,33.56
1,33.52
1,32.96
1,32.06
1,31.8
1,31.16
1,30.26
1,29.71
1,29.34
1,29.17
1,28.97
1,28.29
1,28.12
1,27.68
1,26.71
1,26.09
1,25.59
1,25.36
1,24.88
1,24.48
1,24.35
1,23.35
1,23.16
1,22.77
1,22.66
1,22.17
1,21.87
1,21.68
1,20.77
1,19.93
1,19.64
1,19.29
1,19.77
1,20.74
1,21.2
1,21.68
1,22.54
1,23.14
1,23.15
1,23.9
1,24.71
1,25.54
2,25.83
2,26.04
2,26.38
2,25.64
2,24.42
2,23.2
2,21.98
2,20.15
2,17.7
2,14.65
2,12.82
2,12.21
2,10.99
2,10.38
2,10.38
2,9.16
2,9.16
2,7.33
2,4.88
2,4.27
2,6.11
2,4.88
2,3.05
2,2.44
2,1.22
2,0.61
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,1.22
3,0.61
3,0.61
3,3.66
3,2.44
3,4.88
3,4.27
3,4.88
3,6.72
3,7.94
3,9.16
3,9.16
3,10.99
3,10.99
3,9.77
3,12.21
3,12.21
3,12.21
3,12.82
3,14.04
3,15.26
3,16.48
3,17.7
3,18.93
3,19.54
3,20.15
4,21.02
4,21.44
4,21.18
4,21.18
4,20.66
4,21.23
4,21.4
4,23.24
4,23.69
4,25.55
4,26.81
4,27.16
4,26.31
4,27.94
4,28.0
4,27.44
4,29.64
4,29.12
4,29.67
4,31.37
4,32.29
4,35.25
4,34.62
4,35.11
4,35.32
4,37.11
4,37.82
4,38.93
4,40.06
4,41.53
4,41.0
4,39.97
4,40.73
4,42.12
4,41.92
4,42.99
4,44.52
4,44.8
4,45.68
4,47.09
4,48.05
4,47.95
4,48.21
4,49.64
4,49.87
4,50.23
4,50.06
4,49.07
4,48.11
4,47.93
